mentee_name,email,course
Student_1,student_1@test.com, Accounting and Finance
Student_2,student_2@test.com, Accounting and Finance
Student_3,student_3@test.com, Accounting and Finance
Student_4,student_4@test.com, Adult Nursing
Student_5,student_5@test.com, Adult Nursing
Student_6,student_6@test.com, Adult Nursing
Student_7,student_7@test.com, Aeronautical and Manufacturing Engineering
Student_8,student_8@test.com, Aeronautical and Manufacturing Engineering
Student_9,student_9@test.com, Aeronautical and Manufacturing Engineering
Student_10,student_10@test.com, Agriculture and Forestry
Student_11,student_11@test.com, Agriculture and Forestry
Student_12,student_12@test.com, Agriculture and Forestry
Student_13,student_13@test.com, Anatomy and Physiology
Student_14,student_14@test.com, Anatomy and Physiology
Student_15,student_15@test.com, Anatomy and Physiology
Student_16,student_16@test.com, Anthropology
Student_17,student_17@test.com, Anthropology
Student_18,student_18@test.com, Anthropology
Student_19,student_19@test.com, Archaeology
Student_20,student_20@test.com, Archaeology
Student_21,student_21@test.com, Archaeology
Student_22,student_22@test.com, Architecture
Student_23,student_23@test.com, Architecture
Student_24,student_24@test.com, Architecture
Student_25,student_25@test.com, Art and Design
Student_26,student_26@test.com, Art and Design
Student_27,student_27@test.com, Art and Design
Student_28,student_28@test.com, Biological Sciences
Student_29,student_29@test.com, Biological Sciences
Student_30,student_30@test.com, Biological Sciences
Student_31,student_31@test.com, Biomedical Science (Biomedicine)
Student_32,student_32@test.com, Biomedical Science (Biomedicine)
Student_33,student_33@test.com, Biomedical Science (Biomedicine)
Student_34,student_34@test.com, Building
Student_35,student_35@test.com, Building
Student_36,student_36@test.com, Building
Student_37,student_37@test.com, Business and Management Studies
Student_38,student_38@test.com, Business and Management Studies
Student_39,student_39@test.com, Business and Management Studies
Student_40,student_40@test.com, Chemical Engineering
Student_41,student_41@test.com, Chemical Engineering
Student_42,student_42@test.com, Chemical Engineering
Student_43,student_43@test.com, Chemistry
Student_44,student_44@test.com, Chemistry
Student_45,student_45@test.com, Chemistry
Student_46,student_46@test.com, Civil Engineering
Student_47,student_47@test.com, Civil Engineering
Student_48,student_48@test.com, Civil Engineering
Student_49,student_49@test.com, Classics and Ancient History
Student_50,student_50@test.com, Classics and Ancient History
Student_51,student_51@test.com, Classics and Ancient History
Student_52,student_52@test.com, Communication and Media Studies
Student_53,student_53@test.com, Communication and Media Studies
Student_54,student_54@test.com, Communication and Media Studies
