mentor_name,email,specializations
Jack,jack@test.com, Accounting and Finance
Daniel,daniel@test.com, Accounting and Finance
Laura,laura@test.com, Accounting and Finance
Jack,jack@test.com, Adult Nursing
Alex,alex@test.com, Adult Nursing
Peter,peter@test.com, Adult Nursing
Daniel,daniel@test.com, Aeronautical and Manufacturing Engineering
Laura,laura@test.com, Aeronautical and Manufacturing Engineering
Jack,jack@test.com, Aeronautical and Manufacturing Engineering
Daniel,daniel@test.com, Agriculture and Forestry
Alex,alex@test.com, Agriculture and Forestry
Peter,peter@test.com, Agriculture and Forestry
Laura,laura@test.com, Anatomy and Physiology
Alex,alex@test.com, Anatomy and Physiology
Peter,peter@test.com, Anatomy and Physiology
Josh,josh@test.com, Anthropology
Nicola,nicola@test.com, Anthropology
Charlotte,charlotte@test.com, Anthropology
Josh,josh@test.com, Archaeology
Nicola,nicola@test.com, Archaeology
Charlotte,charlotte@test.com, Archaeology
Josh,josh@test.com, Architecture
Nicola,nicola@test.com, Architecture
Charlotte,charlotte@test.com, Architecture
Luke,luke@test.com, Art and Design
John,john@test.com, Art and Design
Karolina,karolina@test.com, Art and Design
Luke,luke@test.com, Biological Sciences
John,john@test.com, Biological Sciences
Karolina,karolina@test.com, Biological Sciences
Luke,luke@test.com, Biomedical Science (Biomedicine)
John,john@test.com, Biomedical Science (Biomedicine)
Karolina,karolina@test.com, Biomedical Science (Biomedicine)
Anthony,anthony@test.com, Building
Mike,mike@test.com, Building
Allison,allison@test.com, Building
Anthony,anthony@test.com, Business and Management Studies
Mike,mike@test.com, Business and Management Studies
Allison,allison@test.com, Business and Management Studies
Anthony,anthony@test.com, Chemical Engineering
Mike,mike@test.com, Chemical Engineering
Allison,allison@test.com, Chemical Engineering
Henry,henry@test.com, Chemistry
Nathan,nathan@test.com, Chemistry
Andy,andy@test.com, Chemistry
Henry,henry@test.com, Civil Engineering
Nathan,nathan@test.com, Civil Engineering
Andy,andy@test.com, Civil Engineering
Henry,henry@test.com, Classics and Ancient History
Nathan,nathan@test.com, Classics and Ancient History
Andy,andy@test.com, Classics and Ancient History
Simon,simon@test.com, Communication and Media Studies
Susie,susie@test.com, Communication and Media Studies
Chris,chris@test.com, Communication and Media Studies
Simon,simon@test.com, Complementary Medicine
Susie,susie@test.com, Complementary Medicine
Chris,chris@test.com, Complementary Medicine
Simon,simon@test.com, Computer Science
Susie,susie@test.com, Computer Science
Chris,chris@test.com, Computer Science
Hannah,hannah@test.com, Counselling
Kimric,kimric@test.com, Counselling
Brian,brian@test.com, Counselling
Hannah,hannah@test.com, Creative Writing
Kimric,kimric@test.com, Creative Writing
Brian,brian@test.com, Creative Writing
Hannah,hannah@test.com, Criminology
Kimric,kimric@test.com, Criminology
Brian,brian@test.com, Criminology
